SALES,ORDERDATE,STATUS,PRODUCTLINE,COUNTRY,DEALSIZE
2871.0, 2/24/2003 0:00, Shipped, Motorcycles, USA, Small
2765.9,5/7/2003 0:00,Shipped,Motorcycles,France,Small
3884.34,7/1/2003 0:00,Shipped,Motorcycles,France,Medium
3746.7,8/25/2003 0:00,Shipped,Motorcycles,USA,Medium
5205.27,10/10/2003 0:00,Shipped,Motorcycles,USA,Medium
3479.76,10/28/2003 0:00,Shipped,Motorcycles,USA,Medium
2497.77,11/11/2003 0:00,Shipped,Motorcycles,France,Small
5512.32,11/18/2003 0:00,Shipped,Motorcycles,Norway,Medium
2168.54,12/1/2003 0:00,Shipped,Motorcycles,USA,Small
4708.44,1/15/2004 0:00,Shipped,Motorcycles,France,Medium
3965.66,2/20/2004 0:00,Shipped,Motorcycles,Australia,Medium
2333.12,4/5/2004 0:00,Shipped,Motorcycles,USA,Small
3188.64,5/18/2004 0:00,Shipped,Motorcycles,USA,Medium
3676.76,6/28/2004 0:00,Shipped,Motorcycles,USA,Medium
4177.35,7/23/2004 0:00,Shipped,Motorcycles,France,Medium
4099.68,8/27/2004 0:00,Shipped,Motorcycles,USA,Medium
2597.39,9/30/2004 0:00,Shipped,Motorcycles,Finland,Small
4394.38,10/15/2004 0:00,Shipped,Motorcycles,Norway,Medium
4358.04,11/2/2004 0:00,Shipped,Motorcycles,USA,Medium
4396.14,11/15/2004 0:00,Shipped,Motorcycles,USA,Medium
7737.93,11/24/2004 0:00,Shipped,Motorcycles,Austria,Large
1451.0,12/17/2004 0:00,Shipped,Motorcycles,Australia,Small
733.11,2/3/2005 0:00,Shipped,Motorcycles,France,Small
3207.12,3/3/2005 0:00,Shipped,Motorcycles,USA,Medium
2434.56,4/8/2005 0:00,Shipped,Motorcycles,UK,Small
7516.08,5/13/2005 0:00,Disputed,Motorcycles,Spain,Large
5404.62,1/29/2003 0:00,Shipped,Classic Cars,Norway,Medium
7209.11,3/24/2003 0:00,Shipped,Classic Cars,Sweden,Large
7329.06,5/28/2003 0:00,Shipped,Classic Cars,Spain,Large
7374.1,7/24/2003 0:00,Shipped,Classic Cars,USA,Large
10993.5,9/19/2003 0:00,Shipped,Classic Cars,Singapore,Large
4860.24,10/20/2003 0:00,Shipped,Classic Cars,USA,Medium
8014.82,11/6/2003 0:00,Shipped,Classic Cars,Australia,Large
5372.57,11/13/2003 0:00,Shipped,Classic Cars,USA,Medium
7290.36,11/25/2003 0:00,Shipped,Classic Cars,France,Large
9064.89,12/5/2003 0:00,Shipped,Classic Cars,Canada,Large
6075.3,1/29/2004 0:00,Shipped,Classic Cars,USA,Medium
6463.23,3/10/2004 0:00,Shipped,Classic Cars,USA,Medium
6120.34,5/4/2004 0:00,Shipped,Classic Cars,USA,Medium
7680.64,6/15/2004 0:00,Shipped,Classic Cars,Japan,Large
4905.39,7/19/2004 0:00,Shipped,Classic Cars,Australia,Medium
8014.82,8/17/2004 0:00,Shipped,Classic Cars,Italy,Large
7136.19,9/8/2004 0:00,Shipped,Classic Cars,Sweden,Large
10172.7,10/11/2004 0:00,Shipped,Classic Cars,France,Large
11623.7,10/21/2004 0:00,Shipped,Classic Cars,USA,Large
6000.4,11/4/2004 0:00,Shipped,Classic Cars,USA,Medium
3003.0,11/18/2004 0:00,Shipped,Classic Cars,USA,Medium
3944.7,11/29/2004 0:00,Shipped,Classic Cars,Australia,Medium
5691.84,12/10/2004 0:00,Shipped,Classic Cars,USA,Medium
4514.92,1/20/2005 0:00,Shipped,Classic Cars,USA,Medium
8254.8,2/17/2005 0:00,Shipped,Classic Cars,USA,Large
2416.56,3/9/2005 0:00,Shipped,Classic Cars,Australia,Small
